finding_id,priority,certainty,review_area,title,path,start_line,end_line,evidence,reproduction,recommendation,status,reviewer,verified_by
PILOT-015,P3,proven,ui_ux,Readiness feedback is contradictory,src/ui/components/definition_generator_tab.py,76,359,AppTest showed a missing-context warning followed by a different missing-category error,Enter a term without context and activate generation in AppTest,Use one readiness model with a disabled CTA and complete missing-requirement feedback,verified,codex-root,codex-kierkegaard
PILOT-016,P3,proven,accessibility,Heading hierarchy skips and reverses levels,src/ui/components/definition_generator_tab.py,94,311,Static inspection shows an h3 to h4 jump followed by h3 or subheader headings,Render the component and inspect heading levels in source and AppTest,Use one semantic heading ladder matching the visual hierarchy,verified,codex-root,codex-kierkegaard
B006-001,P2,proven,security_audit,Security events disappear from audit reporting,src/security/security_middleware.py,97,591,Blocked requests return local events but the persistent event list and report remain empty,Submit a blocked XSS request then inspect response stored events report and export,Record every event in one bounded thread-safe store before returning a response,verified,codex-root,codex-hypatia
B006-002,P3,suspected,security_policy,Up to five ERROR validations are allowed,src/security/security_middleware.py,255,325,One through five ERROR results return allowed while six block and current tests encode permissive context behavior,Validate requests with one five and six ERROR results,Define the blocking policy then align severity names implementation and tests,verified,codex-root,codex-hypatia
B006-003,P3,proven,security,Mutating feature routes would ignore sanitized request data,src/api/feature_status_api.py,74,115,Middleware computes sanitized_data but forwards the original Request body,Add an in-memory POST echo route and submit a BSN-like value,Replace the ASGI body correctly or require endpoints to consume validated request state,verified,codex-root,codex-hypatia
B006-004,P2,proven,input_validation,Sanitizer levels are compared lexicographically,src/validation/sanitizer.py,361,364,Moderate compares below permissive as strings and triggers stronger redaction at the permissive level,Sanitize a BSN at every enum level,Use an explicit numeric level ordering and parameterized tests,verified,codex-root,codex-hypatia
B006-005,P2,proven,input_validation,Email validation removes valid addresses,src/validation/sanitizer.py,291,300,The valid-email regex is used as an empty replacement so valid input becomes empty and invalid input survives,Sanitize user@example.com and not-an-email,Validate with fullmatch and preserve valid values under an explicit invalid-input policy,verified,codex-root,codex-hypatia
B006-006,P2,proven,input_validation,Nested dictionaries in lists lose their type,src/validation/sanitizer.py,471,477,List traversal does not recurse into dictionaries and stringifies the nested object,Sanitize a list containing a dictionary with email and BSN fields,Implement type-preserving recursive traversal for dictionaries and lists,verified,codex-root,codex-hypatia
B006-007,P2,proven,resilience,Endpoint rate limiters contaminate each other,src/utils/smart_rate_limiter.py,220,251,Every limiter reads and writes the same rate_limit_history file,A limiter writes rate 7 then a separately configured limiter starts at 7 instead of 2,Namespace history per endpoint and configuration and validate loaded values,verified,codex-root,codex-hypatia
B006-008,P3,proven,observability,Queue-time metric is never updated,src/utils/smart_rate_limiter.py,334,413,The update helper has no caller and a processed queued request publishes zero average wait,Queue and process one real request then inspect statistics,Update wait duration when dequeuing before completing the future,verified,codex-root,codex-hypatia
B007-001,P2,proven,functionality,Legal reference regex misses or corrupts citations,src/domain/juridisch/patronen.py,76,105,Multiword Wetboek names fail and the unbounded law-name pattern consumes following citation text,Extract a multiword Wetboek and two legal citations from one sentence,Use bounded non-greedy patterns with explicit lookahead and regression cases,verified,codex-kierkegaard,codex-galileo
B007-002,P1,proven,security,Trusted-host predicate accepts substring-spoofed URLs,src/domain/autoriteit/betrouwbaarheid.py,134,175,Attacker hosts and query strings containing trusted domains receive trusted status and bonus,Check wetten.overheid.nl.attacker.example and an evil URL with rechtspraak.nl in the query,Parse and normalize hostname then require exact host or real subdomain match,verified,codex-kierkegaard,codex-galileo
B007-003,P2,proven,functionality,Mixed-case organization keys are unreachable,src/domain/context/organisatie_wetten.py,59,233,Static Reclassering and Justid keys cannot match an always-uppercase lookup,Query every registered organization through the public API,Canonicalize both keys and input with one casefold index,verified,codex-kierkegaard,codex-galileo
B007-004,P2,proven,functionality,Four legal abbreviation expansions are broken,src/domain/juridisch/patronen.py,58,129,Mixed-case Sv Sr Rv and RvS keys cannot match uppercase input normalization,Expand all five registered abbreviations,Canonicalize the mapping and input identically with casefold,verified,codex-kierkegaard,codex-galileo
B007-005,P2,proven,functionality,Geographic pluralia fail case-insensitive lookup,src/domain/linguistisch/pluralia_tantum.py,113,180,Lowercase input and prefixes are compared with title-cased set entries,Lookup Nederlandse Antillen and Verenigde Staten in multiple casings,Maintain a casefold search index and preserve original spelling for display,verified,codex-kierkegaard,codex-galileo
B007-006,P2,proven,input_validation,Classifier accepts semantically invalid AI JSON,src/services/classification/ontological_classifier.py,55,300,Confidence 42 and garbage negative scores are accepted as high and reliable,Return malformed but parseable JSON from a fake AI client,Validate a strict finite response schema with bounded confidence and exact score keys,verified,codex-kierkegaard,codex-galileo
B007-007,P2,proven,functionality,Definition validation ignores definition text,src/services/classification/ontological_classifier.py,260,291,The documented definition_text never reaches classification,Pass a sentinel definition through a spy and inspect the classify call,Include definition text safely in classification or remove the misleading parameter,verified,codex-kierkegaard,codex-galileo
B008-001,P2,proven,data_integrity,Cyclic and isolated taxonomy components disappear,src/services/ontology/ontology_model_service.py,169,214,Nodes are derived only from relation edges and traversal starts only at roots so a cycle-only graph returns empty,Create A to B and B to A plus an isolated term in temporary SQLite,Load all model terms and detect strongly connected and disconnected components before traversal,verified,codex-kierkegaard,codex-galileo
B009-001,P1,proven,data_loss,Migration rebuild drops generation prompt data,src/database/migrate_database.py,38,470,Replacement DDL and copy omit the canonical generation_prompt_data column,Migrate a current temporary database containing prompt JSON and inspect schema and row,Share canonical DDL or controlled column mapping and enforce schema and data postconditions,verified,codex-galileo,codex-kierkegaard
B009-002,P1,proven,data_loss,Failed destructive rebuild returns success,src/database/migrate_database.py,403,533,The migration commits before rebuild swallows copy and view errors and returns true with live definities empty,Migrate a legacy row that violates the new category check,Wrap the full rebuild in one transaction and fail or roll back on every postcondition error,verified,codex-galileo,codex-kierkegaard
B009-003,P2,proven,data_migration,Preference-term backfill is conditionally skipped,src/database/migrate_database.py,344,479,Backfill runs only when the text column is added while rebuild always removes the boolean source,Migrate a database with nullable voorkeursterm and a true legacy flag,Run idempotent backfills independently and verify results before dropping source fields,verified,codex-galileo,codex-kierkegaard
B009-004,P2,proven,test_quality,Migration integration test resolves the wrong project root,tests/integration/database/test_unique_constraint_removal.py,54,544,Migration paths resolve under tests/src and exists guards silently skip execution,Run the file and observe two failures with migration files never executed,Use a shared repository-root fixture and assert every migration path exists,verified,codex-galileo,codex-kierkegaard
B010-001,P1,proven,backup_restore,SQLite backup omits committed WAL data but verifies successfully,src/database/migrations/v5_migration.py,198,277,copy2 copies only the main file and verification checks size and table names rather than rows,Commit a row that remains in WAL then copy and verify the database,Use SQLite backup API or VACUUM INTO and compare integrity and row fingerprints,verified,codex-root,codex-hypatia
B010-002,P1,proven,data_loss,Synonym uniqueness ignores per-definition ownership,src/database/schema.sql,362,379,UNIQUE group and term prevents the same scoped term for a second definition,Sync one shared term for two definitions then replace the first definition terms,Use partial unique indexes for global and per-definition scopes,verified,codex-root,codex-hypatia
B010-003,P1,proven,transactionality,Synonym synchronization commits partially after failure,src/database/synonym_sync.py,96,182,Each registry operation autocommits on a separate connection during a multi-step sync,Abort the second insert with a trigger and inspect the surviving first term,Use one connection and transaction for group inserts and deprecations with full rollback,verified,codex-root,codex-hypatia
B010-004,P2,proven,data_integrity,Production schema seeds invalid test definitions,src/database/schema.sql,519,556,Fresh databases always receive two sample definitions whose documented JSON context fields contain invalid JSON,Execute schema.sql in a temporary database and parse every context value,Move demo data to explicit test fixtures and initialize production schema without rows,verified,codex-root,codex-hypatia
B010-005,P2,proven,schema_drift,Fresh schema contradicts migration version seven,src/database/schema.sql,413,431,Schema version remains empty and removed RAG count columns are reintroduced,Create a fresh database and inspect schema_version and rag_collections,Choose one migration strategy and make canonical schema match and record the latest version,verified,codex-root,codex-hypatia
B010-006,P2,proven,resource_management,SynonymRegistry leaks SQLite connections,src/repositories/synonym_registry.py,126,1091,Connection context blocks commit or roll back but do not close and nested calls amplify leaks,Run six public operations with ResourceWarning capture,Use a closing contextmanager and share one connection through nested operations,verified,codex-root,codex-hypatia
B010-007,P3,proven,migration,Dormant category migration fails on the current schema,src/database/migrations/fix_category_constraint.sql,10,75,It creates 26 columns then SELECT star copies 31 values and leaves a temporary table,Execute the SQL against a current temporary schema,Retire it as superseded or use explicit column mapping inside a rollback-safe transaction,verified,codex-root,codex-hypatia
B011-001,P1,proven,data_integrity,Repository save ignores a failed legacy update,src/services/definition_repository.py,80,91,A false update result still returns the definition ID and increments success statistics,Mock update_definitie to return false then call save,Propagate a typed failure and update metrics only after a proven write,verified,codex-galileo,codex-kierkegaard
B011-002,P1,proven,data_integrity,Hard delete confirms an uncommitted delete,src/services/definition_repository.py,305,827,The method returns true but the connection closes without commit and the row remains after reopen,Delete a row then query it from a new connection,Use an explicit transaction commit before success and verify rowcount after commit,verified,codex-galileo,codex-kierkegaard
B011-003,P2,proven,transactionality,Bulk update returns a partial count after rollback,src/services/definition_edit_repository.py,264,307,The counter survives a later error even though the whole transaction rolls back,Abort the second update with a trigger and inspect return value and both rows,Return zero or raise a typed exception on rollback and test atomicity,verified,codex-galileo,codex-kierkegaard
B011-004,P2,proven,resource_management,Synonym repository leaks SQLite connections,src/repositories/synonym_repository.py,105,250,Raw connection context blocks do not close and remain usable after method exit,Run public operations with ResourceWarning capture and reuse the returned connection,Use a real closing contextmanager and gate resource warnings,verified,codex-galileo,codex-kierkegaard
B011-005,P2,proven,audit_integrity,Reasoned history is not atomic with definition save,src/services/definition_edit_repository.py,98,478,The definition commits before a separate manual history write whose error is swallowed,Abort only the manualreason history insert and inspect definition and audit rows,Write data and reasoned audit in one transaction and propagate failure,verified,codex-galileo,codex-kierkegaard
B012-001,P1,proven,secret_handling,Sanitized AI errors retain the raw SDK cause,src/services/ai/openai_client.py,84,110,Wrapper text hides a fake key but cause and formatted traceback retain it and caller logs exc_info,Raise a provider exception containing a sentinel secret and format the chained traceback,Sanitize or sever raw exception chains at the provider boundary and test all log surfaces,verified,codex-hypatia,codex-root
B012-002,P1,proven,session_isolation,Provider reset leaves singleton configuration stale,src/services/container.py,108,1027,After environment switch a new container and router retain the old provider and key,Switch provider in a subprocess reset containers and inspect manager container and router,Use one versioned session-scoped config and atomically invalidate every dependent cache,verified,codex-hypatia,codex-root
B012-003,P2,proven,concurrency,Container singleton factories race during construction,src/services/container.py,177,975,Unsynchronized check-then-create returned two constructed instances in two threads,Coordinate two threads between cache check and construction,Lock creation or use explicit request or session scoped dependency injection,verified,codex-hypatia,codex-root
B012-004,P2,proven,resource_management,Container reset discards resources without closing them,src/services/container.py,879,1023,Reset only clears dictionaries despite the AI client close contract,Install close-spies then reset an initialized container,Define teardown that closes every resource exactly once before clearing caches,verified,codex-hypatia,codex-root
B012-005,P2,proven,error_handling,Malformed provider responses escape consistent handling,src/services/ai/openai_client.py,98,110,Empty OpenAI choices raise IndexError while Anthropic non-text blocks return a successful empty response,Feed both response shapes through fake clients,Validate response shape and return one typed provider protocol error,verified,codex-hypatia,codex-root
B012-006,P2,proven,resilience,Web lookup initialization failure is cached permanently,src/services/container.py,449,468,The first exception stores None and later calls never retry after the dependency recovers,Fail construction once then make it succeed and call the getter twice,Do not cache failures or use an observable retryable failed state,verified,codex-hypatia,codex-root
B012-007,P2,proven,configuration,Shallow provider configuration merge breaks partial overrides,src/services/ai/model_router.py,94,167,A partial nested providers override removes required sibling fields and fails at user action,Construct the router with one partial provider section then request that provider,Deep merge against a strict schema and validate at startup,verified,codex-hypatia,codex-root
B012-008,P3,proven,cost_observability,Unknown models receive plausible default pricing,src/services/ai/model_router.py,160,167,Any unknown model silently maps to default input and output prices,Query cost metadata for an unregistered model,Fail explicitly or expose cost as unknown without a financial number,verified,codex-hypatia,codex-root
B012-009,P3,proven,code_quality,Synonym registry fallback imports the same implementation,src/services/container.py,477,483,Try and except branches import the exact same class so fallback cannot recover,Force the primary import branch to fail,Remove the dead fallback or import a real compatibility implementation,verified,codex-hypatia,codex-root
B013-001,P3,proven,contract,Frozen DTO metadata remains mutable,src/services/interfaces.py,765,952,Frozen dataclasses contain ordinary dictionaries whose contents can change after construction,Construct a DTO then mutate its metadata dictionary,Use immutable mappings or defensive deep copies and read-only return types,verified,codex-hypatia,codex-root
B013-002,P3,proven,contract,Critical interface defaults hide missing implementations,src/services/interfaces.py,485,599,Base methods silently return false empty lists or none instead of failing,Instantiate a minimal subclass without overriding the default methods,Use abstract methods or fail-loud defaults and reserve empty behavior for explicit null objects,verified,codex-hypatia,codex-root
B013-003,P3,proven,architecture,Conflicting canonical service contracts coexist,src/services/interfaces.py,1,1295,Statuses and result DTOs are duplicated elsewhere with incompatible shapes and callers rely on casts or duck typing,Compare duplicate result and status definitions and their adapters,Consolidate one contract module and add explicit legacy adapters and contract tests,verified,codex-hypatia,codex-root
B014-001,P1,proven,deserialization,Redis cache deserializes attacker-controlled bytes with pickle,src/services/definition_generator_cache.py,199,223,Bytes returned by Redis flow directly into pickle.loads before the catch can prevent execution,Return a controlled reduce payload or loads spy from fake Redis,Replace pickle with strict versioned JSON or msgpack and retain Redis ACL and TLS as defense in depth,verified,codex-kierkegaard,codex-galileo
B014-002,P1,proven,cache_isolation,Cache identity and invalidation mishandle context variants,src/services/definition_generator_cache.py,333,513,Semantically different requests collide and a context-keyed entry cannot be invalidated by the public method,Cache requests differing in legal context instructions and model then invalidate one context variant,Serialize every output-driving field canonically and use identical identity inputs for get set and delete,verified,codex-kierkegaard,codex-galileo
B014-003,P1,proven,functionality,Document-only context is omitted from the active prompt,src/services/definition_generator_context.py,70,256,Source text appears in aggregate context but has_any_context is false so the orchestrator skips context awareness,Build a source-only document context and inspect active modules and prompt,Include usable sources and every context category in one presence predicate,verified,codex-kierkegaard,codex-galileo
B014-004,P2,proven,error_handling,Linguistic enhancement always fails with a regex replacement error,src/services/definition_generator_enhancement.py,303,426,The replacement contains an illegal backslash-w escape and the coordinator swallows PatternError,Enhance a sentence containing wordt and a sentence without a match,Use a valid backreference or remove the unsafe automatic rewrite and test real matches,verified,codex-kierkegaard,codex-galileo
B014-005,P2,proven,data_integrity,Later enhancements overwrite earlier applied results,src/services/definition_generator_enhancement.py,417,440,Every strategy computes from the original text and full outputs are applied sequentially while metadata claims all changes,Apply clarity and completeness together and inspect final text and applied list,Recompute each step from current text or compose conflict-checked patches,verified,codex-kierkegaard,codex-galileo
B014-006,P2,proven,data_loss,Definition reconstruction drops domain and audit fields,src/services/definition_generator_enhancement.py,458,480,Reconstruction copies only a few fields and loses ID context synonyms category validation actor and timestamps,Enhance a fully populated Definition and compare every field,Use dataclasses.replace and deep-copy mutable metadata with preservation tests,verified,codex-kierkegaard,codex-galileo
B014-007,P2,proven,legal_correctness,Completeness heuristic fabricates ungrounded facts,src/services/definition_generator_enhancement.py,259,294,Keyword heuristics append definitive purpose procedure and scope claims without any cited source,Enhance Vergunning Een toestemming at the default threshold,Return review suggestions only or derive claims from cited context and revalidate them,verified,codex-kierkegaard,codex-galileo
B014-008,P2,proven,configuration,Explicit nested generator configuration is overwritten,src/services/definition_generator_config.py,237,351,Post init replaces explicit Redis warning and false values with memory debug and true,Construct UnifiedGeneratorConfig with explicit nested values and inspect them,Keep defaults in field factories and modify only absent values without manual post-init calls,verified,codex-kierkegaard,codex-galileo
B015-001,P1,proven,functionality,Prompt cap removes the term and final instruction,src/services/prompts/modular_prompt_adapter.py,297,314,Blind prefix slicing truncates the final definition task after long document context,Build a long prompt with a unique term and a one-thousand-character cap,Allocate section or token budgets before assembly and reserve the mandatory task suffix,verified,codex-galileo,codex-kierkegaard
B015-002,P1,proven,secret_handling,Raw term is logged before sanitization,src/services/orchestrators/definition_orchestrator_v2.py,337,359,The request term is logged before the security service returns its redacted form,Capture logs while generating a dummy email-like term,Log only generation identifiers before sanitization and redacted value or hash afterwards,verified,codex-galileo,codex-kierkegaard
B015-003,P2,proven,session_isolation,Global prompt orchestrator leaks configuration between adapters,src/services/prompts/modular_prompt_adapter.py,30,183,Constructing adapter B mutates the shared modules and changes adapter A output,Create adapters with opposing metadata flags then build again with A,Use an immutable per-adapter orchestrator or per-build execution context,verified,codex-galileo,codex-kierkegaard
B015-004,P2,proven,configuration,Prompt include flags have no effect,src/services/prompts/modular_prompt_adapter.py,189,267,All six flags false produce the same prompt as defaults with every supposedly disabled section,Compare byte output for all-false and default public configurations,Map flags explicitly to module activation or remove them and fail on unsupported configuration,verified,codex-galileo,codex-kierkegaard
B015-005,P1,proven,configuration,Invalid RAG minimum score breaks generation without RAG,src/services/orchestrators/definition_orchestrator_v2.py,579,588,Unconditional float parsing runs before checking whether a RAG service exists,Set RAG_MIN_SCORE to nonnumeric with rag_service none and generate,Validate bounded finite config at startup and read it only when RAG is active,verified,codex-galileo,codex-kierkegaard
B016-001,P1,proven,error_handling,Essential prompt module failures are silently omitted,src/services/prompts/modules/prompt_orchestrator.py,143,364,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-016/review-evidence.md,Run the safe reproduction documented for B016-001 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B016-001,verified,codex-root,codex-hypatia
B016-002,P2,proven,privacy,Raw terms persist in process-global execution metadata,src/services/prompts/modules/prompt_orchestrator.py,208,225,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-016/review-evidence.md,Run the safe reproduction documented for B016-002 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B016-002,verified,codex-root,codex-hypatia
B016-003,P2,proven,functionality,Feedback history is ignored but reported as integrated,src/services/prompts/prompt_service_v2.py,106,195,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-016/review-evidence.md,Run the safe reproduction documented for B016-003 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B016-003,verified,codex-root,codex-hypatia
B016-004,P2,proven,configuration,Documented prompt token limit is not enforced,src/services/prompts/prompt_service_v2.py,47,204,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-016/review-evidence.md,Run the safe reproduction documented for B016-004 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B016-004,verified,codex-root,codex-hypatia
B016-005,P2,proven,legal_correctness,Result category is mapped to a measure template,src/services/prompts/prompt_service_v2.py,136,159,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-016/review-evidence.md,Run the safe reproduction documented for B016-005 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B016-005,verified,codex-root,codex-hypatia
B016-006,P2,proven,security,Authority selection trusts substrings in attacker-controlled URLs,src/services/prompts/prompt_service_v2.py,389,414,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-016/review-evidence.md,Run the safe reproduction documented for B016-006 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B016-006,verified,codex-root,codex-hypatia
B016-007,P2,proven,error_handling,One malformed source score drops every valid web source,src/services/prompts/prompt_service_v2.py,367,487,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-016/review-evidence.md,Run the safe reproduction documented for B016-007 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B016-007,verified,codex-root,codex-hypatia
B016-008,P2,proven,validation,NaN synonym confidence becomes maximum confidence,src/services/prompts/synonym_response_parser.py,67,79,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-016/review-evidence.md,Run the safe reproduction documented for B016-008 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B016-008,verified,codex-root,codex-hypatia
B017-001,P1,proven,availability,Import-time logging writes to the project root,src/services/synonym_orchestrator.py,49,111,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-017/review-evidence.md,Run the safe reproduction documented for B017-001 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B017-001,verified,codex-hypatia,codex-root
B017-002,P1,proven,data_integrity,Force-duplicate bypass persists after a generation,src/ui/handlers/definition_generation_handler.py,243,492,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-017/review-evidence.md,Run the safe reproduction documented for B017-002 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B017-002,verified,codex-hypatia,codex-root
B017-003,P2,proven,functionality,Serialized duplicate context replaces the primary organization,src/ui/handlers/definition_generation_handler.py,115,324,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-017/review-evidence.md,Run the safe reproduction documented for B017-003 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B017-003,verified,codex-hypatia,codex-root
B017-004,P2,proven,ux,Failed generation is shown as success,src/ui/handlers/definition_generation_handler.py,338,516,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-017/review-evidence.md,Run the safe reproduction documented for B017-004 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B017-004,verified,codex-hypatia,codex-root
B017-005,P2,proven,concurrency,Synonym cache check and read are not atomic,src/services/synonym_orchestrator.py,197,528,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-017/review-evidence.md,Run the safe reproduction documented for B017-005 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B017-005,verified,codex-hypatia,codex-root
B017-006,P2,proven,functionality,Duplicate flow hardcodes the process category,src/ui/handlers/definition_generation_handler.py,522,563,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-017/review-evidence.md,Run the safe reproduction documented for B017-006 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B017-006,verified,codex-hypatia,codex-root
B017-007,P3,proven,configuration,Explicit zero synonym weight is replaced by the default,src/services/synonym_orchestrator.py,162,221,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-017/review-evidence.md,Run the safe reproduction documented for B017-007 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B017-007,verified,codex-hypatia,codex-root
B017-008,P3,proven,ux,Active Test Prompt button performs no test,src/ui/components/prompt_debug_section.py,155,180,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-017/review-evidence.md,Run the safe reproduction documented for B017-008 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B017-008,verified,codex-hypatia,codex-root
B018-001,P3,proven,documentation,Dormant code-review prompt uses a stale CLI and wrong stack,prompts/chained-code-review-orchestrator.md,12,229,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-018/review-evidence.md,Run the safe reproduction documented for B018-001 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B018-001,verified,codex-kierkegaard,codex-galileo
B019-001,P3,proven,design,Prompt generator specification writes to filesystem root,prompts/implementation/prompt-generator-subagent-spec.md,19,459,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-019/review-evidence.md,Run the safe reproduction documented for B019-001 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B019-001,verified,codex-galileo,codex-kierkegaard
B020-001,P2,proven,coverage,Architecture prompt omits seventy-eight production Python files,prompts/orchestrate-architecture-analysis.md,1,5754,Independently reproduced line-range defect; full proof in batches/evidence/BATCH-020/review-evidence.md,Run the safe reproduction documented for B020-001 in the batch evidence dossier,Apply the concrete remediation and regression tests documented for B020-001,verified,codex-root,codex-hypatia
