symbol_id,path,path_b64,qualified_name,kind,start_line,start_col,end_line,end_col,parent_symbol,decorators,complexity,status,reviewer,verified_by,test_ids,finding_ids,notes
SYM-19dbf811cd350e717f510747,docs/examples/service_adapter_with_classifier.py,ZG9jcy9leGFtcGxlcy9zZXJ2aWNlX2FkYXB0ZXJfd2l0aF9jbGFzc2lmaWVyLnB5,ServiceAdapter.__init__,method,54,4,67,80,SYM-e3fd0a7437dd55631d6c6d90,,1,pending,,,,,
SYM-8707ea60c2a8bec58355afee,docs/examples/service_adapter_with_classifier.py,ZG9jcy9leGFtcGxlcy9zZXJ2aWNlX2FkYXB0ZXJfd2l0aF9jbGFzc2lmaWVyLnB5,ServiceAdapter.generate_with_auto_classification,async_method,69,4,142,42,SYM-e3fd0a7437dd55631d6c6d90,,5,pending,,,,,
SYM-d626900beb4c2f5e5fa17403,docs/examples/service_adapter_with_classifier.py,ZG9jcy9leGFtcGxlcy9zZXJ2aWNlX2FkYXB0ZXJfd2l0aF9jbGFzc2lmaWVyLnB5,ServiceAdapter.generate_with_classification,async_method,144,4,206,42,SYM-e3fd0a7437dd55631d6c6d90,,6,pending,,,,,
SYM-1c02299d83373f6b3b3bef00,docs/examples/service_adapter_with_classifier.py,ZG9jcy9leGFtcGxlcy9zZXJ2aWNlX2FkYXB0ZXJfd2l0aF9jbGFzc2lmaWVyLnB5,ServiceAdapter.classify_only,method,208,4,234,9,SYM-e3fd0a7437dd55631d6c6d90,,1,pending,,,,,
SYM-6c0c62a1b9b6d221f3300acc,docs/examples/service_adapter_with_classifier.py,ZG9jcy9leGFtcGxlcy9zZXJ2aWNlX2FkYXB0ZXJfd2l0aF9jbGFzc2lmaWVyLnB5,example_auto_classification,async_function,240,0,263,61,SYM-c76adcd1e6a8575528b5d7e0,,1,pending,,,,,
SYM-e1190d18ae1bfd674acafbd1,docs/examples/service_adapter_with_classifier.py,ZG9jcy9leGFtcGxlcy9zZXJ2aWNlX2FkYXB0ZXJfd2l0aF9jbGFzc2lmaWVyLnB5,example_manual_classification,async_function,266,0,310,54,SYM-c76adcd1e6a8575528b5d7e0,,2,pending,,,,,
SYM-ff9dee946911a4ba3b9385c8,docs/examples/service_adapter_with_classifier.py,ZG9jcy9leGFtcGxlcy9zZXJ2aWNlX2FkYXB0ZXJfd2l0aF9jbGFzc2lmaWVyLnB5,example_batch_validation,function,313,0,356,54,SYM-c76adcd1e6a8575528b5d7e0,,5,pending,,,,,
SYM-4b7c34b129141a3d5bdec2fa,docs/examples/service_adapter_with_classifier.py,ZG9jcy9leGFtcGxlcy9zZXJ2aWNlX2FkYXB0ZXJfd2l0aF9jbGFzc2lmaWVyLnB5,add_service_adapter_to_container,function,362,0,393,7,SYM-c76adcd1e6a8575528b5d7e0,,1,pending,,,,,
SYM-37638d83ce2439e3bc3a9067,docs/examples/service_adapter_with_classifier.py,ZG9jcy9leGFtcGxlcy9zZXJ2aWNlX2FkYXB0ZXJfd2l0aF9jbGFzc2lmaWVyLnB5,cli_classification_tool,async_function,399,0,448,44,SYM-c76adcd1e6a8575528b5d7e0,,4,pending,,,,,
SYM-e09a699a6e4f7c19772f2117,docs/examples/synonym_config_usage.py,ZG9jcy9leGFtcGxlcy9zeW5vbnltX2NvbmZpZ191c2FnZS5weQ==,docs.examples.synonym_config_usage,module,1,0,259,0,,,1,pending,,,,,
SYM-d51afd475e9ee0c8bd82105b,docs/examples/synonym_config_usage.py,ZG9jcy9leGFtcGxlcy9zeW5vbnltX2NvbmZpZ191c2FnZS5weQ==,SynonymOrchestrator,class,18,0,98,30,SYM-e09a699a6e4f7c19772f2117,,1,pending,,,,,
SYM-f029ea41c1053b21245315b6,docs/examples/synonym_config_usage.py,ZG9jcy9leGFtcGxlcy9zeW5vbnltX2NvbmZpZ191c2FnZS5weQ==,SynonymOrchestrator.__init__,method,21,4,24,42,SYM-d51afd475e9ee0c8bd82105b,,1,pending,,,,,
SYM-d0e81c79824db2d5c9565d3a,docs/examples/synonym_config_usage.py,ZG9jcy9leGFtcGxlcy9zeW5vbnltX2NvbmZpZ191c2FnZS5weQ==,SynonymOrchestrator.get_synonyms_for_lookup,method,26,4,58,37,SYM-d51afd475e9ee0c8bd82105b,,3,pending,,,,,
SYM-d30c933a4b6f37c1bba84d35,docs/examples/synonym_config_usage.py,ZG9jcy9leGFtcGxlcy9zeW5vbnltX2NvbmZpZ191c2FnZS5weQ==,SynonymOrchestrator.ensure_synonyms,async_method,60,4,98,30,SYM-d51afd475e9ee0c8bd82105b,,6,pending,,,,,
SYM-a40e00a7735c410e2701991a,docs/examples/synonym_config_usage.py,ZG9jcy9leGFtcGxlcy9zeW5vbnltX2NvbmZpZ191c2FnZS5weQ==,example_policy_comparison,function,105,0,124,11,SYM-e09a699a6e4f7c19772f2117,,1,pending,,,,,
SYM-5a802618894a762d53cf2271,docs/examples/synonym_config_usage.py,ZG9jcy9leGFtcGxlcy9zeW5vbnltX2NvbmZpZ191c2FnZS5weQ==,example_admin_ui_reload,function,131,0,140,70,SYM-e09a699a6e4f7c19772f2117,,1,pending,,,,,
SYM-27a0a627a2cd25ab2a909727,docs/examples/synonym_config_usage.py,ZG9jcy9leGFtcGxlcy9zeW5vbnltX2NvbmZpZ191c2FnZS5weQ==,example_validation,function,150,0,166,43,SYM-e09a699a6e4f7c19772f2117,,3,pending,,,,,
SYM-67b4ac1882bf5a784ecdde9d,docs/examples/synonym_config_usage.py,ZG9jcy9leGFtcGxlcy9zeW5vbnltX2NvbmZpZ191c2FnZS5weQ==,example_env_override,function,173,0,184,62,SYM-e09a699a6e4f7c19772f2117,,1,pending,,,,,
SYM-deec41116d53601b9c383a7c,docs/examples/synonym_config_usage.py,ZG9jcy9leGFtcGxlcy9zeW5vbnltX2NvbmZpZ191c2FnZS5weQ==,example_weight_thresholds,function,191,0,218,47,SYM-e09a699a6e4f7c19772f2117,,3,pending,,,,,
SYM-6b35470cabd7199fa254ca8d,docs/examples/synonym_config_usage.py,ZG9jcy9leGFtcGxlcy9zeW5vbnltX2NvbmZpZ191c2FnZS5weQ==,example_cache_config,function,225,0,239,45,SYM-e09a699a6e4f7c19772f2117,,1,pending,,,,,
SYM-800ce5f7d94d8d8fdd585271,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,docs.implementation.prompt_v8_code_examples,module,1,0,419,0,,,1,pending,,,,,
SYM-8b00e62fd95a183dc710bf78,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,AraiRulesModuleV8,class,11,0,28,9,SYM-800ce5f7d94d8d8fdd585271,,1,pending,,,,,
SYM-c92a33b7cb0161087bff569c,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,AraiRulesModuleV8.execute,method,17,4,28,9,SYM-8b00e62fd95a183dc710bf78,,1,pending,,,,,
SYM-7e0d4aebab4ad071c4f20a36,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,ErrorPreventionModuleV8,class,37,0,60,9,SYM-800ce5f7d94d8d8fdd585271,,1,pending,,,,,
SYM-7323fbfaaff3a23167772519,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,ErrorPreventionModuleV8._build_error_section,method,42,4,60,9,SYM-7e0d4aebab4ad071c4f20a36,,1,pending,,,,,
SYM-dd630efaa992ba5c84e86d7b,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptOrchestratorV8,class,69,0,124,22,SYM-800ce5f7d94d8d8fdd585271,,1,pending,,,,,
SYM-54a7f8ddc2e95858d32f7fa8,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptOrchestratorV8.build_prompt,method,74,4,85,34,SYM-dd630efaa992ba5c84e86d7b,,3,pending,,,,,
SYM-a3d8adb35b61b2091ad2d6d2,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptOrchestratorV8._get_active_modules,method,87,4,124,22,SYM-dd630efaa992ba5c84e86d7b,,7,pending,,,,,
SYM-7cae7147dcf70be109f4bb98,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,ModuleCacheV8,class,137,0,166,47,SYM-800ce5f7d94d8d8fdd585271,,1,pending,,,,,
SYM-9ee63c1768425c6ef7c3dfae,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,ModuleCacheV8.get_static_modules,method,142,4,152,9,SYM-7cae7147dcf70be109f4bb98,st.cache_data(ttl=3600),1,pending,,,,,
SYM-1acd13de9ef35ae3a96000d2,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,ModuleCacheV8.get_category_template,method,154,4,166,47,SYM-7cae7147dcf70be109f4bb98,lru_cache(maxsize=128),4,pending,,,,,
SYM-f6dd3669694731556cc58ec4,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,InvertedPyramidTemplateV8,class,174,0,227,31,SYM-800ce5f7d94d8d8fdd585271,,1,pending,,,,,
SYM-689af59fe92055453233b5fa,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,InvertedPyramidTemplateV8.build,method,179,4,204,36,SYM-f6dd3669694731556cc58ec4,,2,pending,,,,,
SYM-7ac9b7aab172f7abaf938eba,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,InvertedPyramidTemplateV8._build_mission,method,206,4,214,54,SYM-f6dd3669694731556cc58ec4,,3,pending,,,,,
SYM-6519d4e388be5e1f57717df4,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,InvertedPyramidTemplateV8._build_golden_rules,method,216,4,227,31,SYM-f6dd3669694731556cc58ec4,,1,pending,,,,,
SYM-10406b8959e8c2a3c3c57fe4,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,RulePrioritySelectorV8,class,235,0,280,35,SYM-800ce5f7d94d8d8fdd585271,,1,pending,,,,,
SYM-7ed45d7e4dd26db5be282231,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,RulePrioritySelectorV8.select_rules_for_prompt,method,257,4,280,35,SYM-10406b8959e8c2a3c3c57fe4,,5,pending,,,,,
SYM-d72e834958d3a487fdad8504,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptOptimizerV8,class,288,0,352,23,SYM-800ce5f7d94d8d8fdd585271,,1,pending,,,,,
SYM-23c2143901907b8cde080171,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptOptimizerV8.__init__,method,293,4,298,9,SYM-d72e834958d3a487fdad8504,,1,pending,,,,,
SYM-dc0aef6044e6fce690ef1e4a,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptOptimizerV8.optimize_prompt,method,300,4,314,66,SYM-d72e834958d3a487fdad8504,,1,pending,,,,,
SYM-b6968b6b31b4672275475b2a,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptOptimizerV8._calculate_module_scores,method,316,4,327,21,SYM-d72e834958d3a487fdad8504,,2,pending,,,,,
SYM-1c3b3fc0f448bcf138773161,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptOptimizerV8._select_optimal_modules,method,329,4,352,23,SYM-d72e834958d3a487fdad8504,,4,pending,,,,,
SYM-315ebc932b00d5f73d2685d6,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptOptimizerV8._select_optimal_modules.<lambda@337:52>,lambda,337,52,337,66,SYM-1c3b3fc0f448bcf138773161,,1,pending,,,,,
SYM-bb9963567159d4c7e4d0bc5f,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptABTestV8,class,360,0,419,19,SYM-800ce5f7d94d8d8fdd585271,,1,pending,,,,,
SYM-bf600bcbb52a004d5653d5ac,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptABTestV8.__init__,method,365,4,369,9,SYM-bb9963567159d4c7e4d0bc5f,,1,pending,,,,,
SYM-183612c38e3f3993ef32a161,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptABTestV8.generate_with_ab_test,async_method,371,4,404,9,SYM-bb9963567159d4c7e4d0bc5f,,1,pending,,,,,
SYM-9b4e22cb7de2557be9315415,docs/implementation/prompt_v8_code_examples.py,ZG9jcy9pbXBsZW1lbnRhdGlvbi9wcm9tcHRfdjhfY29kZV9leGFtcGxlcy5weQ==,PromptABTestV8._select_version,method,406,4,419,19,SYM-bb9963567159d4c7e4d0bc5f,,3,pending,,,,,
SYM-69062c58ceb640518ff9de9b,scripts/analyse/hernoem-naar-nederlands.py,c2NyaXB0cy9hbmFseXNlL2hlcm5vZW0tbmFhci1uZWRlcmxhbmRzLnB5,scripts.analyse.hernoem-naar-nederlands,module,1,0,451,0,,,1,pending,,,,,
SYM-b982fdab143504d8311e92af,scripts/analyse/hernoem-naar-nederlands.py,c2NyaXB0cy9hbmFseXNlL2hlcm5vZW0tbmFhci1uZWRlcmxhbmRzLnB5,ProjectVernederlandser,class,18,0,403,63,SYM-69062c58ceb640518ff9de9b,,1,pending,,,,,
SYM-da8c85597d4495300c78d11a,scripts/analyse/hernoem-naar-nederlands.py,c2NyaXB0cy9hbmFseXNlL2hlcm5vZW0tbmFhci1uZWRlcmxhbmRzLnB5,ProjectVernederlandser.__init__,method,19,4,84,9,SYM-b982fdab143504d8311e92af,,1,pending,,,,,
SYM-46dd92598cd8effe62cde61e,scripts/analyse/hernoem-naar-nederlands.py,c2NyaXB0cy9hbmFseXNlL2hlcm5vZW0tbmFhci1uZWRlcmxhbmRzLnB5,ProjectVernederlandser.maak_backup,method,86,4,115,24,SYM-b982fdab143504d8311e92af,,2,pending,,,,,
SYM-85a911bff51d0ec8494d680a,scripts/analyse/hernoem-naar-nederlands.py,c2NyaXB0cy9hbmFseXNlL2hlcm5vZW0tbmFhci1uZWRlcmxhbmRzLnB5,ProjectVernederlandser.test_huidige_staat,method,117,4,133,20,SYM-b982fdab143504d8311e92af,,2,pending,,,,,
SYM-15d8cd1526570c76b4f0b503,scripts/analyse/hernoem-naar-nederlands.py,c2NyaXB0cy9hbmFseXNlL2hlcm5vZW0tbmFhci1uZWRlcmxhbmRzLnB5,ProjectVernederlandser.vind_alle_referenties,method,135,4,180,26,SYM-b982fdab143504d8311e92af,,13,pending,,,,,
SYM-a90a4e3347a38e778abd70d3,scripts/analyse/hernoem-naar-nederlands.py,c2NyaXB0cy9hbmFseXNlL2hlcm5vZW0tbmFhci1uZWRlcmxhbmRzLnB5,ProjectVernederlandser.test_enkele_wijziging,method,182,4,234,19,SYM-b982fdab143504d8311e92af,,10,pending,,,,,
SYM-6cc23cb0538bd3550641ad87,scripts/analyse/hernoem-naar-nederlands.py,c2NyaXB0cy9hbmFseXNlL2hlcm5vZW0tbmFhci1uZWRlcmxhbmRzLnB5,ProjectVernederlandser.hernoem_bestand,method,236,4,316,24,SYM-b982fdab143504d8311e92af,,9,pending,,,,,
SYM-1ac557b4f34784b2b7694a0b,scripts/analyse/hernoem-naar-nederlands.py,c2NyaXB0cy9hbmFseXNlL2hlcm5vZW0tbmFhci1uZWRlcmxhbmRzLnB5,ProjectVernederlandser.analyseer_module,method,318,4,341,27,SYM-b982fdab143504d8311e92af,,8,pending,,,,,
SYM-ab43aafdea469b6ef236fa19,scripts/analyse/hernoem-naar-nederlands.py,c2NyaXB0cy9hbmFseXNlL2hlcm5vZW0tbmFhci1uZWRlcmxhbmRzLnB5,ProjectVernederlandser.voer_module_migratie_uit,method,343,4,380,45,SYM-b982fdab143504d8311e92af,,7,pending,,,,,
SYM-c3ff0c921436be9a103fc55b,scripts/analyse/hernoem-naar-nederlands.py,c2NyaXB0cy9hbmFseXNlL2hlcm5vZW0tbmFhci1uZWRlcmxhbmRzLnB5,ProjectVernederlandser.schrijf_rapport,method,382,4,403,63,SYM-b982fdab143504d8311e92af,,4,pending,,,,,
SYM-21122b9783d6ad1b09310179,scripts/analyse/hernoem-naar-nederlands.py,c2NyaXB0cy9hbmFseXNlL2hlcm5vZW0tbmFhci1uZWRlcmxhbmRzLnB5,main,function,406,0,447,12,SYM-69062c58ceb640518ff9de9b,,7,pending,,,,,
SYM-f95d131484f97d132c284a65,scripts/analysis/ai-metrics-dashboard.py,c2NyaXB0cy9hbmFseXNpcy9haS1tZXRyaWNzLWRhc2hib2FyZC5weQ==,scripts.analysis.ai-metrics-dashboard,module,1,0,194,0,,,1,pending,,,,,
SYM-010952bdba4d104bd568e002,scripts/analysis/ai-metrics-dashboard.py,c2NyaXB0cy9hbmFseXNpcy9haS1tZXRyaWNzLWRhc2hib2FyZC5weQ==,AIMetricsDashboard,class,14,0,169,48,SYM-f95d131484f97d132c284a65,,1,pending,,,,,
SYM-effc6117d34e0dda2c2add75,scripts/analysis/ai-metrics-dashboard.py,c2NyaXB0cy9hbmFseXNpcy9haS1tZXRyaWNzLWRhc2hib2FyZC5weQ==,AIMetricsDashboard.__init__,method,17,4,19,42,SYM-010952bdba4d104bd568e002,,1,pending,,,,,
SYM-ea8723d5135a032d4fb98d4e,scripts/analysis/ai-metrics-dashboard.py,c2NyaXB0cy9hbmFseXNpcy9haS1tZXRyaWNzLWRhc2hib2FyZC5weQ==,AIMetricsDashboard.load_metrics,method,21,4,26,17,SYM-010952bdba4d104bd568e002,,2,pending,,,,,
SYM-c4be93cb8623693bf53cf8f6,scripts/analysis/ai-metrics-dashboard.py,c2NyaXB0cy9hbmFseXNpcy9haS1tZXRyaWNzLWRhc2hib2FyZC5weQ==,AIMetricsDashboard.display_dashboard,method,28,4,61,32,SYM-010952bdba4d104bd568e002,,6,pending,,,,,
SYM-8e96b993b0807cf9a782d591,scripts/analysis/ai-metrics-dashboard.py,c2NyaXB0cy9hbmFseXNpcy9haS1tZXRyaWNzLWRhc2hib2FyZC5weQ==,AIMetricsDashboard._display_agent_metrics,method,63,4,84,59,SYM-010952bdba4d104bd568e002,,4,pending,,,,,
SYM-cff70c9c70ef0e56ed36a0c7,scripts/analysis/ai-metrics-dashboard.py,c2NyaXB0cy9hbmFseXNpcy9haS1tZXRyaWNzLWRhc2hib2FyZC5weQ==,AIMetricsDashboard._display_insights,method,86,4,118,88,SYM-010952bdba4d104bd568e002,,9,pending,,,,,
SYM-f7482d5fb7db665a606193b6,scripts/analysis/ai-metrics-dashboard.py,c2NyaXB0cy9hbmFseXNpcy9haS1tZXRyaWNzLWRhc2hib2FyZC5weQ==,AIMetricsDashboard.export_report,method,120,4,154,58,SYM-010952bdba4d104bd568e002,,4,pending,,,,,
SYM-c3346751db3371ef65ef1ed7,scripts/analysis/ai-metrics-dashboard.py,c2NyaXB0cy9hbmFseXNpcy9haS1tZXRyaWNzLWRhc2hib2FyZC5weQ==,AIMetricsDashboard.reset_metrics,method,156,4,169,48,SYM-010952bdba4d104bd568e002,,3,pending,,,,,
SYM-6a99f478027ac9207066c6f2,scripts/analysis/ai-metrics-dashboard.py,c2NyaXB0cy9hbmFseXNpcy9haS1tZXRyaWNzLWRhc2hib2FyZC5weQ==,main,function,172,0,190,37,SYM-f95d131484f97d132c284a65,,4,pending,,,,,
SYM-985ff444de755c34ff7ec14b,scripts/analysis/ai_metrics_tracker.py,c2NyaXB0cy9hbmFseXNpcy9haV9tZXRyaWNzX3RyYWNrZXIucHk=,scripts.analysis.ai_metrics_tracker,module,1,0,414,0,,,1,pending,,,,,
SYM-80b8efb5f61d1e29926a7b34,scripts/analysis/ai_metrics_tracker.py,c2NyaXB0cy9hbmFseXNpcy9haV9tZXRyaWNzX3RyYWNrZXIucHk=,ReviewMetric,class,20,0,44,26,SYM-985ff444de755c34ff7ec14b,dataclass,1,pending,,,,,
SYM-2f75d653ee2a4a3328efcf86,scripts/analysis/ai_metrics_tracker.py,c2NyaXB0cy9hbmFseXNpcy9haV9tZXRyaWNzX3RyYWNrZXIucHk=,ReviewMetric.to_dict,method,34,4,38,16,SYM-80b8efb5f61d1e29926a7b34,,1,pending,,,,,
SYM-06a63327e7f636be204441d0,scripts/analysis/ai_metrics_tracker.py,c2NyaXB0cy9hbmFseXNpcy9haV9tZXRyaWNzX3RyYWNrZXIucHk=,ReviewMetric.from_dict,classmethod,40,4,44,26,SYM-80b8efb5f61d1e29926a7b34,classmethod,1,pending,,,,,
SYM-eedf640ecf8879f9a2bb823c,scripts/analysis/ai_metrics_tracker.py,c2NyaXB0cy9hbmFseXNpcy9haV9tZXRyaWNzX3RyYWNrZXIucHk=,AIMetricsTracker,class,47,0,263,21,SYM-985ff444de755c34ff7ec14b,,1,pending,,,,,
SYM-e29a0944c7a9b99bec71c4a5,scripts/analysis/ai_metrics_tracker.py,c2NyaXB0cy9hbmFseXNpcy9haV9tZXRyaWNzX3RyYWNrZXIucHk=,AIMetricsTracker.__init__,method,50,4,52,28,SYM-eedf640ecf8879f9a2bb823c,,1,pending,,,,,
SYM-5cdff91bcfe265f9edcd290b,scripts/analysis/ai_metrics_tracker.py,c2NyaXB0cy9hbmFseXNpcy9haV9tZXRyaWNzX3RyYWNrZXIucHk=,AIMetricsTracker.init_database,method,54,4,83,25,SYM-eedf640ecf8879f9a2bb823c,,1,pending,,,,,
SYM-24b8d03660e79fdb154ae217,scripts/analysis/ai_metrics_tracker.py,c2NyaXB0cy9hbmFseXNpcy9haV9tZXRyaWNzX3RyYWNrZXIucHk=,AIMetricsTracker.record_review,method,85,4,152,25,SYM-eedf640ecf8879f9a2bb823c,,4,pending,,,,,
SYM-cad2738f9395a888c4bdc77e,scripts/analysis/ai_metrics_tracker.py,c2NyaXB0cy9hbmFseXNpcy9haV9tZXRyaWNzX3RyYWNrZXIucHk=,AIMetricsTracker.get_agent_stats,method,154,4,204,13,SYM-eedf640ecf8879f9a2bb823c,,9,pending,,,,,
SYM-eb126192be424d19c189f3e4,scripts/analysis/ai_metrics_tracker.py,c2NyaXB0cy9hbmFseXNpcy9haV9tZXRyaWNzX3RyYWNrZXIucHk=,AIMetricsTracker.get_trend_data,method,206,4,227,13,SYM-eedf640ecf8879f9a2bb823c,,1,pending,,,,,
